Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,087113,2023,05,12,9.2
IDCJAC0016,087113,2023,05,13,10.7
IDCJAC0016,087113,2023,05,14,10.9
IDCJAC0016,087113,2023,05,15,10.8
IDCJAC0016,087113,2023,05,16,7.3
IDCJAC0016,087113,2023,05,17,7.6
IDCJAC0016,087113,2023,05,18,8.2
IDCJAC0016,087113,2023,05,19,7.3
IDCJAC0016,087113,2023,05,20,9.2
IDCJAC0016,087113,2023,05,21,8.1
IDCJAC0016,087113,2023,05,22,9.2
IDCJAC0016,087113,2023,05,23,9.3
IDCJAC0016,087113,2023,05,24,9.9
IDCJAC0016,087113,2023,05,25,4.8
IDCJAC0016,087113,2023,05,26,8.5
IDCJAC0016,087113,2023,05,27,8.3
IDCJAC0016,087113,2023,05,28,6.5
IDCJAC0016,087113,2023,05,29,7.8
IDCJAC0016,087113,2023,05,30,5.6
IDCJAC0016,087113,2023,05,31,6.1
IDCJAC0016,087113,2023,06,01,9.0
IDCJAC0016,087113,2023,06,02,8.8
IDCJAC0016,087113,2023,06,03,5.3
IDCJAC0016,087113,2023,06,04,6.2
IDCJAC0016,087113,2023,06,05,8.3
IDCJAC0016,087113,2023,06,06,6.3
IDCJAC0016,087113,2023,06,07,2.8
IDCJAC0016,087113,2023,06,08,8.8
IDCJAC0016,087113,2023,06,09,9.0
IDCJAC0016,087113,2023,06,10,7.7
IDCJAC0016,087113,2023,06,11,6.2
IDCJAC0016,087113,2023,06,12,7.4
IDCJAC0016,087113,2023,06,13,7.7
IDCJAC0016,087113,2023,06,14,8.3
IDCJAC0016,087113,2023,06,15,6.2
IDCJAC0016,087113,2023,06,16,9.1
IDCJAC0016,087113,2023,06,17,8.8
IDCJAC0016,087113,2023,06,18,9.1
IDCJAC0016,087113,2023,06,19,8.1
IDCJAC0016,087113,2023,06,20,8.6
IDCJAC0016,087113,2023,06,21,8.3
IDCJAC0016,087113,2023,06,22,7.1
IDCJAC0016,087113,2023,06,23,7.2
IDCJAC0016,087113,2023,06,24,7.4
IDCJAC0016,087113,2023,06,25,4.6
